Date,Open,High,Low,Close,Adj Close,Volume
9/22/14,13.1,13.15,12.97,12.98,10.642581,4112000
9/23/14,12.94,12.95,12.78,12.79,10.486796,3554400
9/24/14,12.68,12.72,12.56,12.71,10.421205,4066900
9/25/14,12.62,12.64,12.5,12.5,10.24902,2447100
9/26/14,12.55,12.55,12.47,12.53,10.273617,1623200
9/29/14,12.42,12.52,12.38,12.47,10.224422,2121600
9/30/14,12.54,12.69,12.53,12.59,10.322813,1623800
10/1/14,12.57,12.57,12.44,12.47,10.224422,2218900
10/2/14,12.56,12.59,12.38,12.49,10.240821,3127400
10/3/14,12.36,12.5,12.34,12.47,10.224422,2687500
10/6/14,12.46,12.46,12.36,12.43,10.191626,4002900
10/7/14,12.14,12.18,11.95,11.95,9.798063,8796800
10/8/14,11.96,12.13,11.9,12.11,9.929251,4781400
10/9/14,11.88,11.93,11.72,11.8,9.675075,9613500
10/10/14,11.56,11.62,11.4,11.41,9.355305,5213500
10/13/14,11.56,11.62,11.43,11.43,9.371705,2932300
10/14/14,11.56,11.71,11.47,11.51,9.437298,3424200
10/15/14,11.43,11.54,11.32,11.51,9.437298,3617500
10/16/14,11.35,11.6,11.32,11.52,9.445498,3758000
10/17/14,11.49,11.58,11.45,11.52,9.445498,7390000
10/20/14,11.44,11.51,11.42,11.49,9.420899,2649700
10/21/14,11.47,11.63,11.42,11.61,9.519289,3983400
10/22/14,11.67,11.67,11.44,11.44,9.379903,3262200
10/23/14,11.86,11.87,11.64,11.81,9.683275,7126600
10/24/14,11.52,11.53,11.34,11.47,9.404501,6937200
10/27/14,11.26,11.46,11.2,11.46,9.396302,4643400
10/28/14,11.4,11.56,11.39,11.55,9.470095,11195900
10/29/14,11.56,11.65,11.51,11.55,9.470095,3657300
10/30/14,11.57,11.79,11.57,11.75,9.634079,3543900
10/31/14,11.83,11.88,11.73,11.84,9.707871,3869400
11/3/14,11.81,11.84,11.71,11.73,9.617681,1841200
11/4/14,11.68,11.73,11.65,11.71,9.601283,2077900
11/5/14,11.79,11.79,11.72,11.74,9.62588,1441200
11/6/14,12.02,12.04,11.9,11.93,9.781666,2497500
11/7/14,11.81,11.82,11.73,11.8,9.675075,962800
11/10/14,11.6,11.67,11.57,11.62,9.527489,3201800
11/11/14,11.88,11.93,11.86,11.92,9.773465,2309500
11/12/14,11.79,11.84,11.74,11.81,9.683275,1284000
11/13/14,12.07,12.11,12.03,12.06,9.888255,3184200
11/14/14,12.03,12.12,12.01,12.04,9.871857,2095700
11/17/14,12.09,12.13,12.05,12.06,9.888255,1886700
11/18/14,12.3,12.38,12.27,12.35,10.126033,4172800
11/19/14,12.34,12.38,12.31,12.34,10.117833,2255000
11/20/14,12.39,12.45,12.34,12.41,10.175226,5616700
11/21/14,12.6,12.63,12.52,12.62,10.347411,4062900
11/24/14,12.49,12.61,12.49,12.61,10.339211,2844400
11/25/14,12.59,12.71,12.57,12.69,10.404806,5743300
11/26/14,12.61,12.68,12.53,12.66,10.380209,2412300
11/28/14,12.55,12.64,12.54,12.59,10.322813,1686100
12/1/14,12.73,12.74,12.64,12.69,10.404806,4357300
12/2/14,12.62,12.65,12.52,12.54,10.281816,3420500
12/3/14,12.6,12.66,12.58,12.63,10.35561,2361400
12/4/14,12.54,12.63,12.47,12.48,10.232621,2254200
12/5/14,12.42,12.46,12.4,12.43,10.191626,2556500
12/8/14,12.46,12.49,12.35,12.35,10.126033,5083800
12/9/14,12.29,12.39,12.22,12.38,10.15063,3278100
12/10/14,12.42,12.43,12.25,12.26,10.05224,2523900
12/11/14,12.26,12.33,12.19,12.21,10.011243,1971000
12/12/14,12.21,12.22,12.04,12.05,9.880054,1356500
12/15/14,11.95,11.96,11.76,11.79,9.666876,4718800
12/16/14,11.73,11.93,11.7,11.79,9.666876,3329600
12/17/14,11.91,11.99,11.84,11.92,9.773465,3648200
12/18/14,12.12,12.29,12.09,12.26,10.05224,2660300
12/19/14,12.1,12.23,12.08,12.16,9.970247,3534800
12/22/14,12.1,12.25,12.09,12.22,10.019442,2462800
